Country ,2013,2014,2015,2016,2017,2018
EastAsia,"1,185,942","1,078,975","1,511,635","1,837,669","1,932,723","2,146,156"
ASEAN,"502,930","416,820","586,997","639,650","667,803","723,878"
Brunei,983,787,"1,112","1,007","1,209","1,104"
Cambodia,"38,527","38,083","34,747","44,428","56,573","71,372"
Indonesia,"44,006","41,595","35,872","38,170","42,509","47,419"
Laos,"83,985","78,806","91,251","118,008","121,401","147,257"
Malaysia,"201,981","145,150","260,055","275,589","263,253","265,727"
Myanmar,"12,114","12,319","18,766","24,444","27,765","28,640"
Philippines,"22,051","19,602","22,615","24,363","27,312","28,814"
Singapore,"58,189","46,163","69,413","65,603","72,625","74,744"
Vietnam,"41,094","34,315","53,166","48,038","55,156","58,801"
China,"339,067","357,034","561,921","814,693","859,617","970,015"
Hong Kong,"26,961","19,499","35,990","38,539","56,259","55,516"
Japan,"137,348","115,643","121,828","122,445","129,505","143,810"
Korea,"143,799","135,598","153,075","174,971","171,485","197,625"
Taiwan,"31,694","30,333","46,660","42,267","42,248","48,167"
Others,"4,143","4,048","5,164","5,104","5,806","7,145"
Europe,"757,213","849,006","725,103","749,394","811,741","901,412"
Austria,"13,810","14,164","14,320","13,768","14,402","16,819"
Belgium,"9,245","10,268","10,435","10,868","11,107","11,343"
Denmark,"27,218","28,491","28,315","27,902","27,537","30,214"
Finland,"28,121","32,047","28,131","27,390","26,980","28,836"
France,"65,830","72,715","78,212","83,321","88,210","89,713"
Germany,"81,790","80,835","81,104","87,293","91,346","100,471"
Italy,"26,407","28,783","31,947","34,436",,"37,886"
Netherlands,"21,741","22,857","22,058","23,231","22,116","23,695"
Norway,"21,382","21,420","20,003","18,866","18,011","18,175"
Russia,"213,919","269,479","145,538","138,866","176,881","226,754"
Spain,"6,729","8,465","9,049","10,099","10,386","10,739"
Sweden,"65,178","60,804","56,367","62,691","61,087","59,552"
Switzerland,"23,203","25,000","24,813","24,557","24,828","24,905"
United Kingdom,"79,664","85,771","85,031","94,268","94,087","93,535"
EastEurope,"53,628","66,607","66,810","66,310","81,994","97,082"
Others,"13,792","15,514","17,065","19,478","28,232","31,693"
TheAmericas,"117,685","121,003","121,387","138,163","161,195","168,167"
Argentina,"3,474","3,926","3,422","6,339","11,995","8,902"
Brazil,"3,862","4,927","6,123","5,086","10,583","9,167"
Canada,"24,997","25,390","25,251","27,298","29,186","32,382"
USA,"81,102","81,552","81,179","93,149","101,785","109,757"
Others,"4,250","5,208","5,412","6,291","7,646","7,959"
SouthAsia,"106,049","91,860","107,381","120,480","137,406","165,779"
Bangladesh,"6,414","5,633","9,893","9,290","9,678","12,966"
India,"84,400","70,072","79,764","91,526","107,227","131,097"
Nepal,"2,300","2,059","2,748","3,787","4,575","5,117"
Pakistan,"5,576","5,897","5,826","5,856","6,659","6,907"
Sri Lanka,"4,453","4,894","4,988","5,249","4,447","4,054"
Others,"2,906","3,305","4,162","4,772","4,820","5,638"
Oceania,"93,754","87,598","81,123","77,866","76,833","81,590"
Australia,"83,946","78,488","72,352","69,391","68,131","71,893"
New Zealand,"9,656","8,958","8,575","8,270","8,467","9,459"
Others,152,152,196,205,235,238
MiddleEast,"45,960","42,365","55,476","61,036","65,246","67,738"
Egypt,"1,557","2,582","2,318","2,269","2,112","2,226"
Israel,"14,769","15,470","15,251","13,999","16,568","17,715"
Kuwait,"4,791","3,679","7,086","6,797","7,820","8,555"
Saudi Arabia,"1,426","1,150","1,268","1,822","2,455","2,353"
U.A.E.,"5,765","3,425","7,360","7,559","6,998","6,637"
Others,"17,652","16,059","22,193","28,590","29,293","30,252"
Africa,"11,844","11,761","11,594","11,834","11,909","13,686"
South  Africa,"5,233","5,170","5,303","4,744","5,016","6,133"
Others,"6,611","6,591","6,291","7,090","6,893","7,553"
GrandTotal,"2,318,447","2,282,568","2,613,699","2,996,442","3,197,053","3,544,528"
