Month,Year,Season,EastAsia,Europe,America,SouthAsia,Oceania,MiddleEast,Africa,Total
January,2013,winter,1185942,757213,117685,106049,93754,45960,11844,2318447
February,2013,rains,1358563,691903,105801,91003,68158,42993,8836,2367257
March,2013,rains,1283022,665722,111163,114400,81978,51163,14752,2322200
April,2013,rains,1281989,445916,93075,100440,82901,41245,12289,2057855
May,2013,rains,1295020,310325,81639,133320,68878,43684,11102,1943968
June,2013,summer,1370784,309935,83239,131704,85404,65427,15289,2061782
July,2013,summer,1391813,421044,87770,107326,96529,32999,11692,2149173
August,2013,summer,1578621,397198,74827,120569,76553,94056,13836,2355660
September,2013,summer,1346445,313164,69404,102811,91781,58497,13241,1995343
October,2013,winter,1200509,485514,97737,109679,91374,56352,13383,2054548
November,2013,winter,1328923,681186,115709,108678,83477,46704,13435,2378112
December,2013,winter,1289744,826825,128584,121606,101149,51163,23309,2542380
January,2014,winter,1078975,849006,121003,91860,87598,42365,11761,2282568
February,2014,rains,1043062,750669,97737,77945,61272,35644,8975,2075304
March,2014,rains,1056544,640704,100548,95660,67567,44509,12476,2018008
April,2014,rains,1120651,469177,90535,96433,93540,48303,16202,1934841
May,2014,rains,1069040,286556,77712,117468,66570,41759,11755,1670860
June,2014,summer,912228,276386,70252,107598,78787,34747,11302,1491300
July,2014,summer,1192503,388120,79103,91713,86172,46061,12426,1896098
August,2014,summer,1349806,382656,68760,106122,71478,90154,15863,2084839
September,2014,summer,1269033,286616,66664,100951,82646,50501,13080,1869491
October,2014,winter,1403027,436195,90863,117143,84957,61660,13930,2207775
November,2014,winter,1456150,620038,105350,111215,72298,46900,13172,2425123
December,2014,winter,1652806,775770,131182,125075,89821,55289,23533,2853476
January,2015,winter,1511635,725103,121387,107381,81123,55476,11594,2613699
February,2015,summer,1704344,644791,109956,94633,60122,41507,8863,2664216
March,2015,summer,1633131,560964,111788,106958,71631,57990,12900,2555362
April,2015,summer,1661085,390343,98421,113419,79509,48854,15096,2406727
May,2015,summer,1671635,276762,91121,136544,65758,47467,12338,2301625
June,2015,rains,1655108,271791,90487,124875,83522,31970,11770,2269523
July,2015,rains,1833659,409024,95846,120784,88206,80800,13195,2641514
August,2015,rains,1844945,387104,76489,114875,71983,79455,14801,2589652
September,2015,rains,1419367,275575,73070,117314,80336,66369,12627,2044658
October,2015,winter,1482025,404808,98434,117643,82316,47007,13608,2245841
November,2015,winter,1630489,563201,123942,116089,73744,46247,12365,2566077
December,2015,winter,1861362,721972,144527,133756,84727,55136,22811,3024291
January,2016,winter,1837669,749394,138163,120480,77866,61036,11834,2996442
February,2016,summer,2021299,715636,127371,100181,59805,45953,10290,3080535
March,2016,summer,1899958,632652,130165,117562,71481,60409,14999,2927226
April,2016,summer,1817719,431489,107356,121217,75979,59588,14461,2627809
May,2016,summer,1764366,309011,103881,155067,65596,48313,12859,2459093
June,2016,rains,1771288,298725,103340,130302,81456,25788,12099,2422998
July,2016,rains,2035403,450504,108567,139564,90929,109338,14797,2949102
August,2016,rains,2055559,437886,83946,129622,73782,86957,15842,2883594
September,2016,rains,1726991,313242,83150,125051,79978,75621,12788,2416821
October,2016,winter,1426045,448503,107048,117777,78625,60859,13918,2252775
November,2016,winter,1445853,608922,145246,118564,69724,50910,13238,2452457
December,2016,winter,1791135,778993,169225,148168,85680,62447,25088,3060736
January,2017,winter,1932723,811741,161195,137406,76833,65246,11909,3197053
February,2017,summer,1846377,757758,142196,119391,61134,51839,10476,2989171
March,2017,summer,1913482,656554,145085,134564,68296,75747,14105,3007833
April,2017,summer,1877624,513259,130398,135956,89716,61669,18938,2827560
May,2017,summer,1889287,303166,111221,164721,69624,38980,13534,2590533
June,2017,rains,1979412,312014,115765,162907,81677,47743,11972,2711490
July,2017,rains,2139374,454880,115477,155716,93090,111451,18054,3088042
August,2017,rains,2260337,437739,93383,146864,74000,103784,17304,3133411
September,2017,rains,1885138,310014,88547,149074,83510,68959,15037,2600279
October,2017,winter,1846292,477946,113155,139037,82012,52517,14984,2725943
November,2017,winter,1878254,402678,123625,144325,82395,50354,19018,2700649
December,2017,winter,1903675,439754,112439,162875,76945,49248,15021,2759957
January,2018,winter,2146156,901412,168167,165779,81590,67738,13686,3544528
February,2018,summer,2342593,830441,142502,135681,58532,46402,10747,3566898
March,2018,summer,2256798,766516,159149,152830,73232,72469,16266,3497260
April,2018,summer,2140095,508156,129613,153089,83387,50713,18672,3092725
May,2018,summer,2048830,303121,115751,180729,66665,26764,13204,2755059
June,2018,rains,2284904,295308,116824,181841,76498,54185,15719,3025279
July,2018,rains,2224578,447149,116866,163113,92392,113783,18100,3175981
August,2018,rains,2339318,433292,96610,166798,71923,103158,17496,3228595
September,2018,rains,1948414,305577,90376,153465,79560,60465,17705,2655562
October,2018,winter,1847633,458841,117061,149489,82340,39634,17035,2712033
